Marca temporal,Who extracted the data?,Tool name,Brief description,Official webpage (URL),Main reference (DOI or URL to the paper),Which SPL phases support the tool?,Type of tool,Date of the first release/publication/development/paper,Date of the last update,Is the tool under active development?,Is the tool available online to download/use?,Is the tool working well and/or usable?,Is it a stand-alone tool?,The tool has been integrated within other tools. Which ones?
12/02/2019 10:36:14,José Miguel,Antenna,"Lexical preprocessor designed for Java ME applications, with integrations in several IDEs, such as NetBeans, Eclipse, and FeatureIDE",http://antenna.sourceforge.net/,,Domain Implementation (DI),,1/01/2008,1/01/2010,,Yes,,,FeatureIDE
12/02/2019 10:37:44,José Miguel,CIDE,Eclipse-based research prototype for virtual separation of concerns. Has been partially reimplemented in several other projects.,http://fosd.net/CIDE,,Domain Implementation (DI),Academic,1/04/2008,1/06/2009,,Yes,,,
12/02/2019 10:40:04,José Miguel,Undertaker,"Tool that analyzes the mapping of preprocessor directives to configuration models, including dead-code detection and other analyses.",http://vamos.informatik.uni-erlangen.de/trac/undertaker/,,"Requirements Analysis (RA), Domain Implementation (DI)",,1/05/2009,1/09/2017,,Yes,,,
12/02/2019 10:41:51,José Miguel,MoSIS CVL Tool,,,,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI), Product Derivation (PD)",Academic,1/09/2010,1/12/2014,No,No,,No,
12/02/2019 10:43:36,José Miguel,CIDE+,CIDE+ is a tool that supports a semi-automatic approach to annotate the code of optional features in SPL.,https://homepages.dcc.ufmg.br/~mtov/cideplus/,,Domain Implementation (DI),,1/06/2010,1/11/2012,,Yes,,,
12/02/2019 10:45:19,José Miguel,CDL,Textual variability modeling language and corresponding tool infrastructure.,https://code.google.com/archive/p/variability/wikis/CDLTools.wiki,,Domain Implementation (DI),,1/08/2010,1/11/2013,,No,,,
12/02/2019 10:47:41,José Miguel,S.P.L.A.R.,"A library that offers SAT and BDD-based components to reason on and configure feature models. SPLAR is the library that supports SPLOT (www.splot-research.org), a set of Software Product Lines Online Tools.",https://code.google.com/archive/p/splar/,,Requirements Analysis (RA),,1/11/2010,,,Yes,,,S.P.L.O.T.
12/02/2019 10:49:23,José Miguel,SPLCATool,A tool that implements various algorithms related to covering arrays of feature models for product lines to realize software testing for possible configurations,https://martinfjohansen.com/splcatool/,,Product Derivation (PD),Academic,1/01/2011,1/01/2012,No,Yes,Yes,Yes,FeatureIDE
12/02/2019 10:51:00,José Miguel,DeltaJ,,http://deltaj.sourceforge.net/,,"Domain Implementation (DI), Product Derivation (PD)",,1/06/2011,10/05/2013,No,Yes,,,
12/02/2019 10:52:14,José Miguel,Clafer,"Clafer (class, feature, reference) is a lightweight modeling language. Lightweight modeling aims at improving the understanding of the problem domain in the early stages of software development and determining the requirements with fewer defects. Lightweight modeling has proven cost effective in finding bugs and improving network protocol specifications. Clafer's goal is to make lightweight modeling more accessible to a wider range of users and domains, including enterprise systems.",https://www.clafer.org/,https://dl.acm.org/citation.cfm?doid=2499777.2499779,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,1/01/2014,1/02/2018,Yes,Yes,Yes,Yes,
